name,longitude,latitude,status,completion_year
Queen Street Blk 270 (Albert Centre),103.85411577872539,1.3011020159948925,Existing,1978.0
Redhill Lane Blk 79 (Redhill Market),103.81835209769348,1.2878431730128634,Existing,1969.0
Redhill Lane Blk 85 (Redhill Food Centre),103.81831119566189,1.2873075147506794,Existing,1972.0
Sims Place Blk 49 (Sims Vista Market and Food Centre),103.87930985514092,1.3170350238501258,Existing,1976.0
Smith Street Blk 335 (Chinatown Complex Market),103.84323851850745,1.2822749608841026,Existing,1983.0
Taman Jurong Market and Food Centre,103.72158379761716,1.3347210666007077,Existing,2005.0
Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),103.94462942285355,1.3453734735523084,Existing,1982.0
Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),103.74274811937117,1.3208310935185843,Existing,1976.0
Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),103.80761812956985,1.2733559939051546,Existing,1977.0
Telok Blangah Drive Blk 82 (Telok Blangah Market),103.80790033728778,1.2738907675844822,Existing,1977.0
Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),103.82236354225992,1.2727612859808173,Existing,1975.0
Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),103.85200350902804,1.3345507486923793,Existing,1968.0
Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),103.84473272633905,1.3381035143692974,Existing,1969.0
Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),103.81865152419587,1.2773681323059345,Existing,1974.0
Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),103.8431616772891,1.276613670144106,Existing,1977.0
Toa Payoh Lorong 4 Blk 93,103.84951344899093,1.3384746963913283,Existing,1967.0
Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),103.85700370906183,1.335382613078359,Existing,1970.0
Toa Payoh Lorong 5 Blk 75,103.85295698796516,1.3360207676183897,Existing,1968.0
Shunfu Road Blk 320 (Shunfu Mart),103.8369645086122,1.3520255700711772,Existing,2000.0
Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),103.83915227449918,1.366800962194856,Existing,1976.0
Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),103.85528829790343,1.3626541076693122,Existing,1979.0
Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),103.85636164972811,1.3682477885076516,Existing,1979.0
Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),103.85445795532793,1.3727720934379934,Existing,1979.0
Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),103.83917606128082,1.3745277374668692,Existing,1981.0
Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),103.8406280871954,1.3809876170167132,Existing,1979.0
Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),103.84651030979788,1.3721725853422009,Existing,1980.0
Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),103.8400222235967,1.3671965379048148,Existing,1976.0
Bedok North Street 1 Blk 216,103.93321797031916,1.3270627418405785,Existing,1979.0
Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),103.93058152248236,1.3332199326945382,Existing,1979.0
Bedok North Street 3 Blk 538,103.92462131526736,1.3320672771423439,Existing,1979.0
Bedok North Street 4 Blk 85 (85 Fengshan Centre),103.93876843904202,1.3320048242420148,Existing,1977.0
Bedok Reservoir Road Blk 630,103.91419083989796,1.332772792382345,Existing,1982.0
Bedok South Road Blk 16,103.93547363751794,1.3205008376701182,Existing,1975.0
Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),103.86302092286022,1.31921667863285,Existing,1971.0
Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),103.8505855697116,1.3061866381546818,Existing,1980.0
Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),103.71280068056076,1.3452240653958958,Existing,1976.0
Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),103.88702413972793,1.3206463677515854,Existing,1978.0
Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),103.81707271810343,1.2836613955382454,Existing,1980.0
Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),103.82182325630666,1.2855044556549065,Existing,1973.0
Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),103.8044926373283,1.2863059431906378,Existing,1978.0
Cambridge Road Blk 41A (Pek Kio Market and Food Centre),103.85023293507001,1.3161312806032646,Existing,1981.0
Bukit Panjang Hawker Centre,103.7724915268977,1.3775974234205033,Existing (new),2015.0
Changi Village Blk 2 and 3,103.98824524769368,1.3891516483342807,Existing,1975.0
Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),103.88710266901265,1.3278341461996204,Existing,1967.0
Circuit Road Blk 79/79A,103.88505228554148,1.3265970669755378,Existing,1971.0
Ci Yuan Hawker Centre,103.88293193010286,1.3753225375634037,Existing (new),2015.0
Circuit Road Blk 89,103.8854388424852,1.3235797144355712,Existing,1967.0
Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),103.77080549454163,1.3143732849239704,Existing,1978.0
Clementi Ave 3 Blk 448,103.76451719252249,1.3133196935787612,Existing,1980.0
Clementi West Street 2 Blk 726,103.76425074802,1.303810731977092,Existing,1980.0
Empress Road Blk 7 (Empress Road Market and Food Centre),103.80563670047233,1.3162405292821697,Existing,1976.0
Eunos Crescent Blk 4A,103.90425647876752,1.3203312605225548,Existing,2000.0
Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),103.87000501449864,1.321463110363858,Existing,1974.0
Geylang Serai Market,103.89822788513564,1.316736349282815,Existing,2009.0
Ghim Moh Road Blk 20,103.78823030670418,1.3109966321422568,Existing,1977.0
Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),103.89558794497685,1.3151075206359577,Existing,1977.0
Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),103.8296234138997,1.2879705166198658,Existing,1969.0
Holland Drive Blk 44 (Holland Drive Market and Food Centre),103.7927737690562,1.3081177997946856,Existing,1999.0
Hawker Centre @ Our Tampines Hub,103.94040813551574,1.3531335979472119,Existing (new),2016.0
Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),103.88605536814947,1.3590838409319475,Existing,1983.0
Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),103.88390947410478,1.3023603479067136,Existing,1969.0
Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),103.89013040811673,1.3540827392695727,Existing,1982.0
Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),103.82601329649792,1.2800048011364626,Existing,1969.0
Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),103.8081312742836,1.2868829730421196,Existing,1974.0
Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),103.83993416821488,1.2882310148481062,Existing,1969.0
Jurong West Hawker Centre,103.69724185257508,1.3412641038830853,Existing (new),2017.0
Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),103.73170383842115,1.3454169827607771,Existing,1984.0
Toa Payoh Lorong 8 Blk 210,103.85439575904685,1.3402610465757185,Existing,1974.0
Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),103.87162041651013,1.3150284150824152,Existing,1974.0
West Coast Drive Blk 502 (Ayer Rajah Market),103.7591280191558,1.3119069571999333,Existing,1995.0
West Coast Drive Blk 503 (Ayer Rajah Food Centre),103.75975140548066,1.3118030896284905,Existing,1979.0
Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),103.84582428335005,1.2852950787883,Existing,1978.0
Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),103.85499618356134,1.323064938171913,Existing,1976.0
Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),103.85406019787618,1.323428186962711,Existing,1973.0
Yishun Park Hawker Centre,103.84474752510276,1.4249878627577708,Existing (new),2017.0
Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),103.82853767194467,1.4314477516178066,Existing,1984.0
Margaret Drive Hawker Centre,103.80469379769634,1.2974865589089906,Existing (replacement),2022.0
Anchorvale Village Hawker Centre,103.88843734465244,1.3967931535173355,Existing (new),2023.0
Fernvale Hawker Centre & Market,103.87703907260794,1.3917220930377379,Existing (new),2022.0
One Punggol Hawker Centre,103.90516945745766,1.4087476457286714,Existing (new),2022.0
Bukit Canberra Hawker Centre,103.8227636322519,1.4482633636853246,Existing (new),2022.0
Punggol Coast Hawker Centre,103.90854260132319,1.4145180096913892,Existing (new),2024.0
Senja Hawker Centre,103.76108397650307,1.387194004486905,Existing (new),2022.0
Buangkok Hawker Centre,103.89272100789816,1.3829816322433666,Existing (new),2023.0
Bukit Batok West Hawker Centre,103.74207854445496,1.3554458319148786,Existing (new),2024.0
Woodleigh Village Hawker Centre,103.8720137732096,1.3397910139953648,Existing (new),2024.0
Bukit Timah Interim Hawker Centre and Market,103.77521471399332,1.3407879159379656,Interim Centre,2024.0
Amoy Street Food Centre (Telok Ayer Food Centre),103.84661927383159,1.2792312094873002,Existing,1983.0
Pasir Panjang Food Centre,103.79141090894716,1.2759179745717486,Existing,1978.0
Bedok Food Centre,103.95547759902762,1.320350159875293,Existing,1971.0
Zion Riverside Food Centre,103.8311890232012,1.2923422109888436,Existing,1976.0
Maxwell Food Centre (Kim Hua Market),103.844747227493,1.2803314273259558,Existing,1935.0
Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),103.84824216615792,1.36410720947631,Existing,1979.0
East Coast Lagoon Food Village,103.93479973740149,1.3072610657579828,Existing,1978.0
Serangoon Garden Market,103.86672494953132,1.3630850108080914,Existing,1957.0
Sembawang Hills Food Centre (Jalan Leban Food Centre),103.82901814509523,1.3723194930318616,Existing,1974.0
Tanglin Halt Market,103.79773798037208,1.3005440753273743,Existing,1964.0
Berseh Food Centre,103.85688878360739,1.307344109232522,Existing,1975.0
